Country,Alpha,R2,Market,Value,Momentum,Quality,Size,Low Vol
France,-0.09352950050510897,0.40495124822286976,-0.24898391795115207,1.094949142819409,0.016983885228912615,0.4534828408285534,-0.11902049179546231,-0.6010714359712703
Germany,0.20581306121662424,0.39800810175311907,-0.4657132724153328,0.764830762873635,0.1899915091012382,0.4802903660854253,0.009844457610026587,-0.39849918821545494
UK,0.16640358037277464,0.3536758528870143,-0.3746429563874764,0.5221372929945556,0.15856748681761784,0.17942381799557922,0.027744112747692982,-0.07956876545503494
Italy,0.2041876269832315,0.36667058879759884,-0.0871895464751187,1.525899377917616,0.1930336481224576,-0.06586159385007427,-0.20701955054364557,-0.7704207322253598
Sweden,0.04383884740764774,0.5325902722448828,-0.256701431475939,0.7853888652677938,-0.03746980514472341,0.6851231434121303,0.09808169371924919,-0.6473370557454751
Spain,0.4104822790685441,0.3304465244518304,-0.529558524261644,1.1851275456752617,0.3002898995802252,0.18119233194510243,-0.14601475527820873,-0.45357837324024697
Denmark,-0.10078985480290875,0.39001728626815935,-0.9938180863831589,0.5103769868471227,-0.05317302041309088,1.314467823817582,0.0794951083240819,-0.04876373692090979
Switzerland,0.02994503508880772,0.37722465690859786,-0.6780950161980122,0.5175445718585814,-0.08510155654953305,0.7893608836454477,0.06319016089172012,0.06710847581929194
Finland,0.0925453634828194,0.31300931068780435,0.2123014259515843,0.8507734704450296,0.024226904625487974,-0.08372497441407628,-0.0511369370267286,-0.5155856857673509
Korea,0.5398519200973187,0.27304577400045227,0.210073343952644,0.5835073794713775,-0.05032275573215994,0.5887225788116004,0.08033631363962071,-1.2432258634228894
Japan,0.12355740517100781,0.39076303142422775,1.433207958230528,-0.1775113006342936,-0.04851451954183114,-0.33681458881998744,0.17480598263156322,-0.5650883695355714
China,0.3042035286274333,0.058674770085274996,0.3182218752810958,0.05163504155196111,-0.3300725576361512,0.18800063593159744,0.11114958583591748,-0.08767960186709031
Hong Kong,0.42982244311960266,0.0702590267999379,0.3297632867020926,0.027640713413078277,-0.31727803707505053,0.4952976151254853,0.06513938394234571,-0.23039759967227247
Canada,0.25200581404031713,0.7423390721433052,0.016201255582798002,0.47092590100837556,0.18506196456834517,-0.24486007857194203,0.1865912013885187,-0.03728098217562395
Australia,0.030760575764539985,0.40611064096727334,-0.2001480131797857,0.22682368272130993,0.17857444855533672,0.04301884364157545,0.13004671518485644,0.034469466083905484
